code,group,dataset_code,frequency,edition_period,scheduled_datetime,id,edition_period_start_date,tags,scheduled_timestamp,group_code
,https://www.notion.so/economy-jp-cpi-main-f1a373e0c8aa48b3819a2208fa36879c,economy.jp.cpi,M,https://www.notion.so/2022-09-d852653bf046488f8f701a027430b656,2022年10月13日 8:30,6d181e8ece554b22bba30412135ecb1d,2022-09-01,,1665617400,economy.jp.cpi.main
,https://www.notion.so/economy-jp-ews-main-88d9c3ab39f04fdf9785a43708674184,economy.jp.ews,M,https://www.notion.so/2022-09-d852653bf046488f8f701a027430b656,2022年10月11日 14:00,770360376a294310bfa3adbb03fb828e,2022-09-01,,1665464400,economy.jp.ews.main
,https://www.notion.so/economy-jp-ews-main-88d9c3ab39f04fdf9785a43708674184,economy.jp.ews,M,https://www.notion.so/2022-10-9709412ddb154d40a13f28f23061b92c,2022年11月9日 14:00,f1e8d79ab6b44f4f9b9338ff96cf9669,2022-10-01,,1667970000,economy.jp.ews.main
,https://www.notion.so/economy-us-marts-main-93d415fd33a34df1a36b0a9c5c4c1ce2,economy.us.marts,M,https://www.notion.so/2022-09-d852653bf046488f8f701a027430b656,2022年10月14日 8:30 (EST),e3b4ef195f4f4159b26a0ec3a86d4b9c,2022-09-01,,1665754200,economy.us.marts.main
,https://www.notion.so/economy-us-marts-main-93d415fd33a34df1a36b0a9c5c4c1ce2,economy.us.marts,M,https://www.notion.so/2022-10-9709412ddb154d40a13f28f23061b92c,2022年11月16日 8:30 (EST),73b5a70083094108b4d03ee66da82354,2022-10-01,,1668605400,economy.us.marts.main
,https://www.notion.so/economy-us-marts-main-93d415fd33a34df1a36b0a9c5c4c1ce2,economy.us.marts,M,https://www.notion.so/2022-11-baf4a15abece4e3f82b7db6cd5c9b4f7,2022年12月15日 8:30 (EST),285e6839f6dd4fb7bab5eb7a635f0763,2022-11-01,,1671111000,economy.us.marts.main
,https://www.notion.so/economy-us-marts-main-93d415fd33a34df1a36b0a9c5c4c1ce2,economy.us.marts,M,https://www.notion.so/2022-12-b9562b4a9724411a99620a4d0c15dc71,2023年1月18日 8:30 (EST),cda6aceae9674b58a1af98337270ebf2,2022-12-01,,1674048600,economy.us.marts.main
,https://www.notion.so/economy-us-marts-main-93d415fd33a34df1a36b0a9c5c4c1ce2,economy.us.marts,M,https://www.notion.so/2023-01-07d1cd57f117432291c944ca039d7412,2023年2月15日 8:30 (EST),f41dbc1c960c41eab3736da416d9b822,2023-01-01,,1676467800,economy.us.marts.main
,https://www.notion.so/economy-us-marts-main-93d415fd33a34df1a36b0a9c5c4c1ce2,economy.us.marts,M,https://www.notion.so/2023-02-dbc187df73014d10a2254078b4127b56,2023年3月15日 8:30 (EST),aab2a316101b4257bb6b7c6d494f775e,2023-02-01,,1678887000,economy.us.marts.main
,https://www.notion.so/economy-us-marts-main-93d415fd33a34df1a36b0a9c5c4c1ce2,economy.us.marts,M,https://www.notion.so/2023-03-a4dd8b6e0d8e497bb193376a22a95f8e,2023年4月14日 8:30 (EST),9218abd99fb04a4087adc46bd089c84f,2023-03-01,,1681479000,economy.us.marts.main
,https://www.notion.so/economy-us-marts-main-93d415fd33a34df1a36b0a9c5c4c1ce2,economy.us.marts,M,https://www.notion.so/2023-04-21ac24f2bc884194bfd2b97f0c044114,2023年5月16日 8:30 (EST),7ab67629dbdd43619999978171fdd61f,2023-04-01,,1684243800,economy.us.marts.main
,https://www.notion.so/economy-us-marts-main-93d415fd33a34df1a36b0a9c5c4c1ce2,economy.us.marts,M,https://www.notion.so/2023-05-b8188818c5d145cab55a148477d58778,2023年6月15日 8:30 (EST),f6fe7e4fb997476f9d50ed9b3a5a50fa,2023-05-01,,1686835800,economy.us.marts.main
